* NAME                                S               BETX               ALFX               BETY               ALFY                MUX                MUY                NDX                 DX                 DY                DPX                DPY                  X                  Y                K1L               K1SL                K2L                K3L                K4L                 WX                 WY               PHIX               PHIY               DMUX               DMUY KEYWORD                           DBX                DBY                R11                R12                R21                R22 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le %s                                %le                %le                %le                %le                %le                %le 
 "BPMR.5R2.B1"                  366.522        32.76611732      -0.3080808274        177.7538563         2.54737615        0.888281085       0.9383135381      0.00450084616      0.02576360665                  0    -0.001325113277                  0    9.757239402e-09                  0                  0                  0                  0                  0                  0        26.35919669        19.36727383         1.35071311        1.725182019       -5.024818545       -2.582524312 "MONITOR"                            0                  0                 -0                 -0                 -0                 -0
 "BPM.6R2.B1"                   439.818        181.3620627        4.488706974        41.46335602       -1.791326732        1.036142041        1.202495959    -0.004492579832     -0.06050190181                  0    0.0008309110221                  0    3.492526073e-08                  0                  0                  0                  0                  0                  0        28.62677338        21.10931145        1.647597127        2.273883105       -1.710186929       -6.029344479 "MONITOR"                            0                  0                 -0                 -0                 -0                 -0
 "BPM_A.7R2.B1"                 452.693        85.10765982        2.987363151        104.4165129       -3.098238853        1.052665092        1.233840482    -0.005398574819     -0.04980391109                  0    0.0008309110221                  0    2.361452064e-08                  0                  0                  0                  0                  0                  0        29.36192043        20.63252208        1.687829996        2.345853302       -1.491675704        -5.82540089 "MONITOR"                            0                  0                 -0                 -0                 -0                 -0
 "BPM.8R2.B1"               494.1300106        113.1022347       -1.028010427        37.15882154       0.6114901231        1.134876405        1.328260008     0.006599093677      0.07018105401                  0     0.008900909628                  0    2.126694951e-08                  0                  0                  0                  0                  0                  0        29.07750335        19.37838831        1.851304322        2.533834599        -1.87142646       -4.269381726 "MONITOR"                            0                  0                 -0                 -0                 -0                 -0
 "BPM.9R2.B1"               533.1950212        15.96909463       0.2489702836        129.5233935       -2.063102383        1.292754506        1.433672205       0.1183522718       0.4729516512                  0      0.01603893782                  0   -1.188857272e-09                  0                  0                  0                  0                  0                  0        31.36182778         20.2312377        2.167529921        2.735476412       -6.087702323       -3.114205326 "MONITOR"                            0                  0                 -0                 -0                 -0                 -0
 "BPM.10R2.B1"              573.6580318        171.5145984       -3.730132202        23.65340761       0.6119635518        1.460223123        1.545153065       0.1524834743        1.996978201                  0      0.04574360017                  0   -3.131462692e-08                  0                  0                  0                  0                  0                  0        33.37173315        21.77709219        2.515480305        2.967961239       -3.932186941       -4.538547533 "MONITOR"                            0                  0                 -0                 -0                 -0                 -0
 "BPM.11R2.B1"              625.4967424        32.86560164       0.6350170749        177.5677372       -2.920838298        1.566782284        1.717589294       0.1897949664        1.088066611                  0     -0.01749069217                  0    -1.43844567e-08                  0                  0                  0                  0                  0                  0        32.42871922        20.77029748         2.73735853        3.331273493       -1.790139801       -6.547240363 "MONITOR"                            0                  0                 -0                 -0                 -0                 -0
 "BPM.12R2.B1"              680.2202583        174.3937905       -2.401250141          31.065128       0.5158045538        1.709363672        1.836439396       0.1621650683        2.141523368                  0      0.02947551792                  0    -1.36659794e-08                  0                  0                  0                  0                  0                  0        32.32666512        26.71830042        3.014765448         3.53806038       -4.898003844       -4.063243243 "MONITOR"                            0                  0                 -0                 -0                 -0                 -0
 "BPM.13R2.B1"              733.6687742        33.18292435       0.5403434482        170.0742098       -2.412836236        1.822711543        1.980810632       0.1862934413         1.07313632                  0     -0.01462190787                  0    4.467905385e-09                  0                  0                  0                  0                  0                  0        35.98084134        28.13915115        3.280318331        3.823983169       -6.804038737       -2.874306225 "MONITOR"                            0                  0                 -0                 -0                 -0                 -0
 "BPM.14R2.B1"              787.1172901        170.1253948       -2.343564722        34.94481818       0.5321125942        1.960432636        2.092499226       0.1614096312        2.105300135                  0      0.02919397106                  0    3.120507083e-08                  0                  0                  0                  0                  0                  0        36.43117184        22.95962288        3.561925687        4.080139342       -3.179804055       -5.229521553 "MONITOR"                            0                  0                 -0                 -0                 -0                 -0
